=== TigerIngest in application.log ===
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=ENSC, price=0.278, volume=1408100, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=CSAI, price=0.37, volume=126700, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=NAMI, price=0.249, volume=20300, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=AGRX, price=0.3207, volume=107800, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=SMXT, price=0.395, volume=283600, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=PAVS, price=0.193, volume=97534600, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=SLAI, price=0.496, volume=61900, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=NXXT, price=0.3918, volume=4508500, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=KAPA, price=0.446, volume=71500, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=FFAI, price=0.323, volume=12296500, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=CPOP, price=0.1617, volume=20868300, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=VSEE, price=0.124, volume=1752700, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=ATYR, price=0.4478, volume=643100, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=ATCH, price=0.204, volume=2354100, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=CLGN, price=0.335, volume=116900, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=MLSS, price=0.34, volume=247900, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=GOSS, price=0.1677, volume=8613500, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=XTNT, price=0.45, volume=111800, date=2026-06-17
